rank;time_start_sec;time_end_sec;freq_start_hz;freq_end_hz;energy
1;1.200;1.300;1300.0;1350.0;1.631827527812
2;5.300;5.400;950.0;1000.0;1.441010414069
3;5.400;5.500;950.0;1000.0;1.435066328323
4;6.000;6.100;950.0;1000.0;1.362647775471
5;5.500;5.600;950.0;1000.0;1.296431407057
6;5.800;5.900;950.0;1000.0;1.291920278195
7;6.200;6.300;950.0;1000.0;1.284306593081
8;5.900;6.000;950.0;1000.0;1.270855470891
9;5.600;5.700;950.0;1000.0;1.260394831360
10;6.100;6.200;950.0;1000.0;1.228466764819
11;4.600;4.700;950.0;1000.0;1.222779078059
12;4.700;4.800;950.0;1000.0;1.217540020664
13;5.700;5.800;950.0;1000.0;1.214530191369
14;3.400;3.500;1050.0;1100.0;1.160329063924
15;4.800;4.900;950.0;1000.0;1.134095076684
16;5.200;5.300;950.0;1000.0;1.127976984284
17;6.400;6.500;950.0;1000.0;1.122581556022
18;3.500;3.600;1050.0;1100.0;1.108819285572
19;3.000;3.100;950.0;1000.0;1.092316581298
20;4.400;4.500;950.0;1000.0;1.087196946127
